StudentID,Study Hours,Attendance,Previous Marks,Assignments Completed,Participation,Final Marks
1,12.2,56.1,55.1,57.3,3,64.8
2,10.7,81.6,41.7,50.2,1,57.2
3,10.1,56.2,50.9,80.7,3,58.0
4,6.5,94.1,81.7,53.8,2,71.1
5,7.4,62.0,92.6,63.5,1,65.4
6,7.5,66.9,42.4,70.3,1,52.8
7,17.6,72.0,70.4,90.6,3,85.0
8,5.1,58.1,76.4,87.5,1,60.1
9,15.7,94.0,60.9,69.9,2,77.5
10,12.7,86.6,77.6,48.9,3,77.6
11,4.7,87.8,49.0,65.9,3,56.9
12,7.2,89.6,43.1,90.2,2,59.4
13,8.4,58.0,90.2,76.2,3,71.5
14,8.3,96.2,65.2,59.6,1,69.1
15,13.9,79.3,81.1,68.6,3,78.3
16,18.0,77.9,45.0,47.6,1,64.6
17,4.4,62.2,77.4,77.8,2,55.2
18,10.5,98.7,87.3,45.6,3,85.0
19,3.8,94.8,81.3,87.3,2,74.7
20,9.3,97.9,88.2,59.5,3,81.5
21,14.2,77.8,45.9,79.4,3,66.6
22,8.0,62.3,92.4,95.7,1,73.9
23,11.6,77.0,46.2,65.0,2,60.8
24,11.1,58.5,80.3,89.9,3,77.7
25,14.3,60.8,66.1,75.2,2,65.9
26,17.4,96.8,81.5,82.9,3,90.2
27,7.0,99.8,75.7,69.1,3,71.7
28,3.0,55.9,70.5,77.4,1,55.4
29,3.1,83.4,52.6,94.8,2,61.3
30,12.7,64.6,47.3,96.5,3,68.4
31,11.2,65.9,66.0,67.4,1,66.3
32,8.8,76.0,80.1,82.0,3,76.7
33,3.6,73.1,58.7,92.4,1,58.9
34,4.2,63.3,65.4,93.1,1,62.3
35,9.1,93.8,70.3,47.8,3,73.4
36,16.8,93.2,49.1,71.7,1,64.3
37,15.8,95.6,49.1,45.1,2,67.1
38,9.3,74.0,92.7,99.7,3,88.3
39,12.6,76.9,50.4,57.0,1,56.8
40,14.0,57.6,72.1,72.7,3,70.9
41,4.5,98.2,44.4,55.2,3,61.5
42,8.5,97.4,71.3,76.8,1,73.4
43,11.9,73.9,72.1,73.8,2,73.2
44,5.8,72.8,76.9,61.5,2,68.1
45,16.9,97.1,40.5,79.2,3,75.3
46,5.4,66.9,91.3,93.4,1,70.9
47,7.9,62.1,85.9,83.7,3,78.7
48,10.5,85.1,70.5,96.2,1,73.4
49,17.0,61.0,46.3,50.9,3,64.8
50,5.4,70.4,77.8,91.9,3,72.4
51,9.8,95.7,86.5,50.1,2,75.6
52,7.3,60.9,93.9,53.9,2,67.1
53,10.8,74.2,40.5,49.1,3,59.2
54,15.4,81.2,48.1,52.0,2,62.6
55,7.8,97.0,93.5,47.2,2,75.7
56,3.6,90.1,88.6,67.4,3,74.3
57,14.0,96.7,53.0,53.9,1,67.1
58,13.8,69.9,91.2,89.1,3,84.9
59,15.0,67.0,83.3,50.9,1,73.6
60,15.1,75.7,56.8,88.7,1,69.4
